concept_id,concept_type,name,fsn,preferred_term,synonyms,category,difficulty,cuisine_type,prep_time,cook_time,servings,tags,file_path,amount,unit,is_main,description,step_number,methods,tools,time_estimate
201000155,Recipe,红烧茄子,红烧茄子 (Recipe),红烧茄子,"[{'term': '红烧青茄子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': 'braised茄子', 'language': 'en', 'language_code': 'en-US'}, {'term': '红烧紫茄子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '红烧eggplant', 'language': 'en', 'language_code': 'en-US'}]",素菜,4.0,,20分钟,15分钟,2,"顺序执行步骤4-6,避免灾难性错误,面糊需均匀包裹茄块,炸制时控制油温",dishes/vegetable_dish/红烧茄子.md,,,,,,,,
201000156,Ingredient,青茄子,青茄子 (Ingredient),青茄子,"[{'term': '茄子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '紫茄子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '圆茄', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,0.7,个,True,,,,,
201000157,Ingredient,青辣椒,青辣椒 (Ingredient),青辣椒,[],蔬菜,,,,,,,,0.5,个,False,,,,,
201000158,Ingredient,洋葱,洋葱 (Ingredient),洋葱,[],蔬菜,,,,,,,,0.3,个,False,,,,,
201000159,Ingredient,西红柿,西红柿 (Ingredient),西红柿,"[{'term': '番茄', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '洋柿子', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,1,个,False,,,,,
201000160,Ingredient,大葱,大葱 (Ingredient),大葱,"[{'term': '葱白', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '韭葱', 'language': 'zh', 'language_code': 'zh-CN'}]",蔬菜,,,,,,,,0.5,颗,False,,,,,
201000161,Ingredient,大蒜,大蒜 (Ingredient),大蒜,[],蔬菜,,,,,,,,3,瓣,False,,,,,
201000162,Ingredient,鸡蛋,鸡蛋 (Ingredient),鸡蛋,"[{'term': '鸡子', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '土鸡蛋', 'language': 'zh', 'language_code': 'zh-CN'}]",蛋白质,,,,,,,,1,个,False,,,,,
201000163,Ingredient,面粉,面粉 (Ingredient),面粉,[],淀粉类,,,,,,,,105,克,False,,,,,
201000164,Ingredient,淀粉,淀粉 (Ingredient),淀粉,[],淀粉类,,,,,,,,26.25,克,False,,,,,
201000165,Ingredient,酱油,酱油 (Ingredient),酱油,[],调料,,,,,,,,5,克,False,,,,,
201000166,Ingredient,盐,盐 (Ingredient),盐,[],调料,,,,,,,,3,克,False,,,,,
201000167,Ingredient,食用油（炸制）,食用油（炸制） (Ingredient),食用油（炸制）,[],其他,,,,,,,,500,毫升,False,,,,,
201000168,Ingredient,食用油（炒制）,食用油（炒制） (Ingredient),食用油（炒制）,[],其他,,,,,,,,5,克,False,,,,,
201000169,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,青茄子、青辣椒、西红柿、洋葱、大葱洗净。,1.0,清洗,"水槽,刀,案板",
201000170,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,大葱切5毫米宽的葱花，大蒜扒皮并拍碎，西红柿切6立方厘米的块，青辣椒、洋葱切5g的块。,2.0,切,"刀,案板",
201000171,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,茄子切菱形块（先切2公分厚的片，然后再把片切成2公分的条，最后斜刀切块儿...）。,3.0,切,"刀,案板",
201000172,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,将面粉倒入盆中，依次加入少量水，搅拌均匀，呈粘稠糊状。,4.0,搅拌,"盆,勺子",
201000173,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,加入淀粉，加入30克水，搅拌均匀。,5.0,搅拌,"盆,勺子",
201000174,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,将鸡蛋打到盆中，加入（面粉 / 20）克的盐，搅拌均匀。,6.0,"打蛋,搅拌","盆,筷子",
201000175,CookingStep,步骤7,步骤7 (Cooking Step),步骤7,,,,,,,,,,,,,将茄块倒入面糊中，搅拌使茄块的每一面都能沾上面糊。,7.0,裹糊,"盆,筷子",
201000176,CookingStep,步骤8,步骤8 (Cooking Step),步骤8,,,,,,,,,,,,,开大火，热锅，加入500毫升的油，当能看到锅里的油冒出一丝烟时，调至小火，将茄块用筷子夹入到油锅，待所有的茄块下锅之后，调至中火，直到茄块变金黄色时捞出，将油倒出。,8.0,炸,"炒锅,筷子,漏勺",约5-7分钟
201000177,CookingStep,步骤9,步骤9 (Cooking Step),步骤9,,,,,,,,,,,,,加入（份数 * 5）g 的油，放入大蒜、葱花，翻炒15秒，放入青辣椒块翻炒30秒，放入西红柿翻炒30秒。,9.0,炒,"炒锅,锅铲",约1分15秒
201000178,CookingStep,步骤10,步骤10 (Cooking Step),步骤10,,,,,,,,,,,,,放入炸好的茄块，加水面高度为锅内食材的0.8倍。,10.0,煮,"炒锅,量杯",
201000179,CookingStep,步骤11,步骤11 (Cooking Step),步骤11,,,,,,,,,,,,,放入酱油和（份数 * 3）g 的盐。,11.0,调味,"炒锅,量勺",
201000180,CookingStep,步骤12,步骤12 (Cooking Step),步骤12,,,,,,,,,,,,,等待，直到汤汁呈粘稠状（水位大概为剩余食材高度的0.2-0.3倍），开盖，盛出菜，关火。,12.0,"炖,收汁","炒锅,锅铲",约5-8分钟
201000181,Recipe,炒青菜,炒青菜 (Recipe),炒青菜,[],素菜,2.0,,2分钟,8分钟,1,加糖使青菜颜色更绿,dishes/vegetable_dish/炒青菜.md,,,,,,,,
201000182,Ingredient,青菜,青菜 (Ingredient),青菜,[],蔬菜,,,,,,,,100,g,True,,,,,
201000183,Ingredient,食用油,食用油 (Ingredient),食用油,[],调料,,,,,,,,10-15,ml,False,,,,,
201000184,Ingredient,食盐,食盐 (Ingredient),食盐,[],调料,,,,,,,,2,g,False,,,,,
201000185,Ingredient,饮用水,饮用水 (Ingredient),饮用水,[],其他,,,,,,,,70,ml,False,,,,,
201000186,Ingredient,白糖,白糖 (Ingredient),白糖,"[{'term': '细砂糖', 'language': 'zh', 'language_code': 'zh-CN'}, {'term': '绵白糖', 'language': 'zh', 'language_code': 'zh-CN'}]",调料,,,,,,,,5,g,False,,,,,
201000187,CookingStep,步骤1,步骤1 (Cooking Step),步骤1,,,,,,,,,,,,,青菜掰成小瓣，用清水洗净，备用。,1.0,"掰,洗",盆,
201000188,CookingStep,步骤2,步骤2 (Cooking Step),步骤2,,,,,,,,,,,,,中火或大火热锅后，锅内放入 10-15ml 食用油。再等待 30 秒让油温升高。,2.0,"热锅,加热",炒锅,30秒
201000189,CookingStep,步骤3,步骤3 (Cooking Step),步骤3,,,,,,,,,,,,,将准备好的青菜倒入锅中，翻炒至青菜变软（约 1 分钟）。,3.0,炒,"炒锅,锅铲",1分钟
201000190,CookingStep,步骤4,步骤4 (Cooking Step),步骤4,,,,,,,,,,,,,倒入计算好的清水，水位应当完全浸润或即将没过青菜，加入食盐 （2g * 份数），继续翻炒约 1 分钟。,4.0,炒,"炒锅,锅铲",1分钟
201000191,CookingStep,步骤5,步骤5 (Cooking Step),步骤5,,,,,,,,,,,,,最后加入白糖小火加热 2 分钟，加热时盖上锅盖。,5.0,"加热,焖","炒锅,锅盖",2分钟
201000192,CookingStep,步骤6,步骤6 (Cooking Step),步骤6,,,,,,,,,,,,,盛盘。,6.0,,盘子,
